ax,ay,az,gx,gy,gz
-1.4676 , -9.703 , -1.0626 , 0.0063 , 0.0129 , 0.0026
-1.3191 , -9.7653 , -0.8757 , -0.0123 , -0.0121 , -0.008
-1.3909 , -9.6886 , -1.0482 , -0.016 , -0.002 , 0.001
-1.2736 , -9.7653 , -0.9261 , 0.0223 , 0.0609 , 0.0159
-1.3885 , -9.703 , -0.9572 , -0.0006 , 0.0108 , 0.0101
-1.3694 , -9.7126 , -0.9955 , 0.0111 , -0.0249 , 0.0074
-1.252 , -9.7533 , -0.9907 , -0.007 , -0.0691 , -0.0048
-1.3766 , -9.7198 , -0.938 , -0.0139 , 0.0268 , 0.0133
-1.3694 , -9.703 , -0.8207 , -0.0097 , -0.0265 , 0.001
-1.3598 , -9.703 , -1.0698 , -0.0059 , -0.0105 , 0.0127
-1.3526 , -9.703 , -1.0578 , -0.0139 , -0.0329 , -0.0096
-1.4556 , -9.6671 , -1.0913 , 0.0063 , 0.0017 , -0.0011
-1.355 , -9.6767 , -0.9284 , 0.0127 , -0.0217 , 0.0005
-1.4029 , -9.7294 , -1.0578 , 0.0106 , -0.0105 , -0.0064
-1.3766 , -9.703 , -0.962 , -0.0081 , 0.0486 , 0.0063
-1.458 , -9.7246 , -1.0362 , -0.0049 , -0.0297 , -0.008
-1.3454 , -9.7198 , -0.9524 , -0.0022 , 0.0151 , -0.0032
-1.4197 , -9.7174 , -1.1057 , 0.001 , -0.0121 , -0.0
-1.343 , -9.7318 , -1.0171 , -0.0166 , 0.0507 , -0.0
-1.4508 , -9.6838 , -1.0003 , 0.0031 , -0.0052 , 0.0058
-1.3502 , -9.7581 , -1.0842 , 0.0079 , -0.0174 , 0.0026
-1.4364 , -9.7198 , -1.0362 , -0.007 , -0.0153 , 0.0015
-1.3526 , -9.727 , -0.9859 , -0.0054 , -0.0041 , 0.001
-1.446 , -9.6767 , -1.0362 , 0.0106 , 0.0252 , 0.0031
-1.3239 , -9.7174 , -1.0434 , -0.0113 , -0.0254 , 0.0037
-1.4293 , -9.715 , -1.0674 , 0.0053 , 0.0033 , -0.0011
-1.4077 , -9.7006 , -0.9692 , -0.0033 , -0.0201 , 0.0005
-1.4101 , -9.6743 , -0.9716 , 0.009 , -0.0334 , -0.0091
-1.4125 , -9.7174 , -0.9883 , 0.0101 , 0.031 , 0.0101
-1.3814 , -9.6527 , -0.9907 , -0.0059 , 0.0039 , -0.0054
-1.4221 , -9.7222 , -1.0722 , 0.0005 , 0.0172 , 0.0058
-1.3358 , -9.715 , -0.9811 , -0.0001 , -0.0052 , -0.0032
-1.4724 , -9.7054 , -1.0482 , -0.0059 , 0.0124 , -0.0027
-1.4029 , -9.7126 , -0.974 , -0.0065 , 0.0081 , 0.0031
-1.4484 , -9.6719 , -1.0674 , -0.0075 , -0.0164 , -0.0112
-1.3981 , -9.7365 , -1.0195 , 0.009 , 0.0108 , -0.0032
-1.4628 , -9.6599 , -1.0219 , -0.0033 , 0.0081 , -0.0038
-1.4245 , -9.7533 , -1.0099 , 0.0047 , 0.0039 , -0.0107
-1.446 , -9.6838 , -1.0267 , 0.0154 , 0.0332 , -0.0022
-1.4341 , -9.6791 , -1.0338 , -0.0049 , 0.0342 , -0.0027
-1.3694 , -9.6743 , -0.9907 , -0.0054 , -0.0419 , -0.0064
-1.4221 , -9.7318 , -1.0171 , 0.0106 , -0.0425 , -0.0118
-1.3981 , -9.727 , -1.0482 , 0.0175 , 0.0491 , 0.009
-1.4221 , -9.7461 , -1.0698 , -0.0091 , -0.0142 , -0.0134
-1.4221 , -9.7054 , -0.9548 , 0.0069 , 0.0225 , -0.008
-1.3766 , -9.7126 , -1.0602 , 0.018 , -0.0132 , 0.001
-1.4245 , -9.6934 , -0.9548 , 0.0037 , -0.0382 , -0.0075
-1.4077 , -9.7437 , -0.9644 , 0.0053 , 0.0412 , 0.0149
-1.3742 , -9.7054 , -1.0123 , 0.017 , 0.0087 , -0.0075
-1.3909 , -9.7198 , -1.0458 , -0.0097 , 0.0337 , 0.0181
-1.4364 , -9.7078 , -1.0147 , -0.0118 , -0.035 , -0.0006
-1.4125 , -9.727 , -0.9764 , -0.0176 , -0.0233 , -0.0006
-1.3095 , -9.703 , -1.0602 , -0.0049 , -0.0068 , 0.0005
-1.3981 , -9.6982 , -1.0099 , 0.0037 , -0.0558 , -0.0123
-1.2592 , -9.727 , -0.9668 , -0.0128 , 0.0902 , 0.0117
-1.379 , -9.7102 , -0.9141 , 0.0133 , -0.0339 , -0.007
-1.3119 , -9.7461 , -1.0051 , -0.0155 , -0.0142 , -0.0016
-1.264 , -9.7749 , -0.9835 , 0.009 , -0.0052 , -0.0038
-1.4077 , -9.7318 , -0.847 , 0.0276 , 0.0396 , -0.0027
-1.3861 , -9.7174 , -0.9788 , -0.0155 , -0.01 , 0.0101
-1.3526 , -9.7341 , -0.9883 , 0.0058 , -0.0025 , -0.0038
-1.3334 , -9.727 , -0.8973 , 0.009 , 0.0156 , 0.0101
-1.3526 , -9.691 , -1.053 , -0.0123 , -0.0217 , 0.0037
-1.3861 , -9.7389 , -0.95 , -0.0081 , 0.0204 , 0.0053
-1.3454 , -9.7485 , -0.9859 , -0.0118 , -0.0062 , -0.0059
-1.3071 , -9.6719 , -0.9356 , -0.0027 , -0.0057 , 0.0069
-1.3814 , -9.7006 , -1.0626 , -0.0043 , -0.0291 , -0.008
-1.2999 , -9.7916 , -0.8422 , 0.0058 , 0.0273 , 0.0058
-1.3263 , -9.7413 , -1.0291 , -0.0059 , 0.0481 , 0.0031
-1.379 , -9.691 , -1.0698 , 0.0111 , 0.0119 , -0.0022
-1.355 , -9.7389 , -1.0075 , -0.0038 , -0.0068 , 0.0106
-1.3766 , -9.7557 , -0.9835 , 0.0047 , 0.0055 , -0.0091
-1.3814 , -9.7294 , -0.9716 , -0.0059 , -0.0297 , 0.0031
-1.367 , -9.7078 , -1.0051 , 0.0303 , 0.0316 , 0.009
-1.4149 , -9.7461 , -0.9572 , 0.001 , -0.0616 , -0.0043
-1.3382 , -9.7605 , -1.0554 , 0.0037 , 0.0513 , 0.0085
-1.4364 , -9.703 , -1.0794 , 0.0367 , 0.039 , 0.0021
-1.4125 , -9.6886 , -1.0626 , 0.0111 , 0.0097 , 0.0063
-1.3071 , -9.6934 , -0.938 , -0.0038 , 0.0225 , 0.001
-1.4101 , -9.7389 , -1.0243 , 0.0063 , -0.002 , 0.0106
-1.3885 , -9.7533 , -0.9308 , 0.0026 , 0.0039 , 0.0021
-1.3718 , -9.6862 , -0.9452 , 0.0031 , 0.0119 , 0.0005
-1.3718 , -9.7365 , -1.0003 , 0.0095 , -0.019 , -0.0075
-1.331 , -9.7821 , -1.0362 , -0.0139 , -0.0233 , -0.0054
-1.3502 , -9.703 , -0.9883 , 0.0117 , -0.0228 , -0.0096
-1.3981 , -9.7294 , -0.9907 , 0.0047 , -0.0142 , -0.0
-1.4724 , -9.7006 , -0.9788 , -0.0054 , 0.0507 , 0.0031
-1.3861 , -9.7653 , -1.0051 , -0.0091 , -0.0489 , -0.0102
-1.4149 , -9.6862 , -1.065 , 0.0015 , 0.014 , 0.0037
