ax,ay,az,gx,gy,gz
3.4479 , -3.1322 , 8.6966 , 0.0036 , -0.0003 , -0.0014
3.4575 , -3.1921 , 8.7373 , 0.0031 , -0.0024 , 0.0013
3.4839 , -3.2041 , 8.7469 , 0.0031 , 0.0077 , -0.0046
3.4192 , -3.1729 , 8.8044 , 0.0031 , 0.0056 , 0.0018
3.3497 , -3.0939 , 8.7181 , 0.0042 , 0.0029 , 0.0039
3.3761 , -3.1562 , 8.7229 , 0.0015 , 0.0066 , 0.0055
3.4288 , -3.1538 , 8.7277 , -0.0001 , 0.0013 , 0.0023
3.3593 , -3.113 , 8.8092 , -0.0011 , 0.0066 , 0.0045
3.3833 , -3.1442 , 8.7732 , 0.0042 , 0.0088 , 0.0023
3.4503 , -3.1083 , 8.7469 , 0.001 , 0.0029 , 0.0061
3.4096 , -3.1633 , 8.7469 , 0.0036 , 0.0082 , 0.0029
3.3665 , -3.137 , 8.8475 , -0.0001 , -0.0035 , -0.0014
3.4599 , -3.1633 , 8.7637 , 0.0052 , 0.0034 , -0.0009
3.3689 , -3.0819 , 8.7349 , 0.0074 , 0.0072 , -0.0105
3.4072 , -3.1538 , 8.7421 , -0.0001 , 0.004 , -0.0019
3.3665 , -3.137 , 8.7493 , 0.0026 , 0.0125 , 0.0066
3.3258 , -3.1418 , 8.7517 , 0.001 , 0.0178 , 0.0076
3.4144 , -3.1633 , 8.7253 , -0.0006 , 0.0167 , 0.0082
3.3593 , -3.1059 , 8.8571 , -0.0027 , 0.0018 , 0.005
3.3785 , -3.0843 , 8.778 , -0.0113 , -0.0253 , 0.0023
3.3856 , -3.1226 , 8.7852 , -0.0011 , 0.0029 , -0.0062
3.3856 , -3.1154 , 8.7732 , 0.0005 , -0.0035 , 0.0066
3.3809 , -3.1059 , 8.7828 , -0.0027 , 0.0045 , 0.0002
3.3521 , -3.0819 , 8.7708 , 0.0036 , 0.0018 , 0.0061
3.3665 , -3.137 , 8.7493 , -0.0017 , -0.0019 , -0.0078
3.3521 , -3.1514 , 8.7661 , -0.0086 , -0.0078 , -0.0099
3.309 , -3.1346 , 8.881 , -0.0033 , -0.0333 , -0.0126
3.3593 , -3.1538 , 8.7469 , 0.0047 , -0.004 , 0.0013
3.3329 , -3.1849 , 8.7996 , 0.0127 , 0.0333 , 0.0039
3.388 , -3.1538 , 8.7804 , 0.001 , 0.0125 , 0.0039
3.3785 , -3.1562 , 8.7828 , -0.0001 , -0.011 , -0.0041
