ax,ay,az,gx,gy,gz
-2.8162 , -9.4419 , -1.3501 , -0.6483 , -1.4092 , -1.4398
-2.5048 , -9.5713 , -1.4195 , 0.14 , 1.9128 , -0.9678
-1.4628 , -9.8611 , 0.2645 , 0.0963 , 1.1544 , -0.5694
-2.8522 , -10.5055 , 1.3544 , -0.0544 , 0.9807 , -0.1455
1.2776 , -9.7821 , -1.4698 , -0.4262 , 1.1304 , 0.5763
-2.2198 , -9.0442 , -5.2738 , -0.4826 , -0.2438 , 0.8106
-3.4127 , -11.7104 , 1.1532 , 0.1464 , 1.802 , 0.466
-3.7505 , -8.7903 , 1.4622 , 0.8026 , 0.1173 , 0.6098
-1.5922 , -8.2561 , 0.3124 , -0.4129 , 0.5946 , 0.2817
-1.6089 , -8.3783 , -0.2936 , -0.6893 , -0.7621 , 0.3771
1.177 , -10.7379 , 2.1042 , -0.529 , -1.1093 , 0.2173
-1.5993 , -11.4038 , -0.1308 , -0.2424 , -1.055 , 0.2918
-3.5061 , -9.6503 , 0.0465 , 0.5981 , 2.2835 , 0.7616
-2.2653 , -9.1904 , -6.1482 , 2.3973 , -1.9152 , -1.0898
-2.2485 , -9.5449 , -0.5931 , 1.347 , -0.5389 , -1.5953
-2.0473 , -9.3988 , -0.9668 , -0.5961 , -0.8377 , -1.4712
-2.6222 , -9.3772 , -1.5297 , 0.0069 , 0.0705 , -0.5513
-2.9001 , -10.5294 , -2.3849 , -0.7617 , -0.28 , 0.1944
-0.1525 , -14.2113 , 0.9233 , 0.2354 , 1.4217 , 0.523
-2.4833 , -6.4476 , -0.3535 , -0.8209 , -0.0297 , 0.5954
-5.5998 , -11.9907 , -6.4428 , 0.8154 , 2.2926 , 0.5219
-2.1216 , -10.1126 , 1.1365 , -0.1439 , -1.2185 , 0.3744
-5.3722 , -6.0164 , 1.4 , -0.2866 , 0.1088 , 0.335
0.1733 , -9.7174 , 0.7915 , -0.677 , -0.7024 , 0.3653
2.0801 , -11.6266 , 1.2395 , -0.4981 , -0.6976 , 0.1358
-3.8583 , -16.372 , 0.5615 , -0.1987 , -1.3229 , 0.0948
-2.3707 , -3.9323 , -1.1632 , 0.3424 , 1.1341 , 0.6636
-2.7084 , -9.7294 , -5.4463 , 1.593 , -6.6045 , -1.2288
-2.2605 , -8.9365 , -0.9548 , 1.9073 , -0.1218 , -1.2943
-1.7838 , -9.715 , -1.0075 , -1.6992 , -1.8039 , -0.9524
-2.1383 , -9.624 , -1.1728 , 0.3882 , 0.6191 , -0.3399
-2.7396 , -9.8659 , -1.5585 , -0.6925 , -0.3684 , 0.1773
-1.9467 , -11.0804 , -1.3477 , 0.0117 , 1.0718 , 0.4841
-2.3539 , -8.7927 , 1.1365 , -0.5476 , 0.0108 , 0.474
-5.5447 , -14.0125 , -2.8975 , -0.4123 , 0.7959 , 0.5454
-2.8857 , -7.4033 , 7.3192 , 0.3078 , 0.1727 , 0.5906
-3.2043 , -8.4454 , -0.5667 , 0.1698 , 1.1597 , 0.1155
-1.1274 , -8.6753 , -0.2362 , -0.3921 , -2.1011 , -0.1407
-0.4783 , -10.1007 , 0.025 , -0.6983 , 0.4433 , 0.2173
-0.0447 , -10.1581 , 1.5844 , 0.042 , -1.251 , -0.0251
-3.9804 , -6.4883 , 0.2118 , 0.4223 , -1.0747 , 0.148
-2.4929 , -11.0636 , -0.0733 , -0.4954 , -1.52 , 0.0479
-2.5863 , -8.7664 , -1.7309 , -0.2483 , -1.5019 , 0.1432
-3.2067 , -8.6202 , -2.4639 , -0.7383 , -3.691 , -0.7559
-2.9456 , -9.6455 , -1.7477 , -0.7511 , -3.2558 , -1.1069
-2.8833 , -9.2574 , 0.5424 , -1.1165 , -2.1384 , -0.0187
-3.3385 , -9.473 , -2.6867 , -0.2094 , -2.1112 , -0.1076
-3.2355 , -9.0131 , -2.0304 , 0.1959 , -2.067 , 0.1043
-2.4952 , -9.6743 , -1.0482 , 0.5613 , -2.3168 , 0.4165
-1.3933 , -10.2995 , -0.0996 , 0.6721 , 0.1322 , 0.5677
-2.4593 , -9.7365 , 2.636 , -0.864 , 0.7032 , 0.6029
-3.6163 , -8.8981 , -2.119 , -1.9213 , -1.9519 , 0.384
1.8765 , -10.7642 , 2.0228 , 0.1363 , 0.8353 , -0.0368
-3.4223 , -8.6729 , 3.0648 , 1.0082 , 2.103 , -0.2488
-3.7289 , -8.7975 , -0.2098 , -0.8933 , -2.6918 , -0.3995
-1.2783 , -10.2444 , -1.3213 , -0.5705 , -0.4787 , 0.1448
-0.3441 , -9.0922 , -1.9465 , -0.5929 , -0.32 , 0.2343
-0.1261 , -10.1821 , 0.7867 , -0.4858 , -1.8699 , 0.0303
-5.5088 , -8.1435 , 9.4296 , -0.7703 , -1.7927 , -0.1375
-2.2198 , -8.1459 , -0.5236 , -0.2589 , 0.3037 , 0.4351
-3.3097 , -8.9939 , -3.518 , -0.7718 , -0.9719 , 0.0601
-3.8942 , -9.2455 , -2.4304 , 2.0101 , 1.1608 , -1.6198
-2.742 , -9.7845 , -0.7105 , -1.802 , -1.5264 , -1.0733
-1.676 , -9.5497 , -0.8063 , 0.3424 , 1.3381 , -0.7468
-1.7958 , -9.5425 , -1.9441 , -0.3484 , -0.394 , 0.0431
-3.0175 , -9.7509 , -2.0399 , -0.293 , 0.1338 , 0.646
-1.8868 , -12.4554 , -0.847 , 0.1762 , 0.7991 , 0.2024
-3.5948 , -8.4789 , 4.3632 , -1.0435 , -0.3652 , 0.4388
-6.1747 , -14.252 , -2.8424 , 1.3534 , 3.3664 , 0.6045
0.0056 , -7.9136 , 10.7471 , -0.8928 , -1.3304 , 0.3675
-2.8809 , -7.8034 , -1.0219 , -0.6057 , 0.0827 , 0.4143
-2.7132 , -7.2357 , -1.1872 , -1.0131 , -1.0949 , 0.4058
3.939 , -13.3369 , 2.5115 , 0.2364 , -0.1623 , 0.1683
-2.6366 , -10.2971 , 0.2214 , 0.1278 , -0.9927 , 0.1411
-3.0127 , -9.0155 , -1.8866 , -1.2006 , 2.2713 , -0.3489
-2.603 , -9.7078 , -1.0746 , 1.8295 , 2.0007 , -1.0914
-2.8162 , -8.8239 , -2.2316 , -1.7854 , -0.9953 , -0.8203
-2.3683 , -10.2492 , -0.7847 , 0.3275 , 1.1032 , -0.6973
-1.2736 , -9.3796 , 0.3483 , -0.5966 , -0.3642 , 0.0197
-1.6425 , -9.7389 , -1.2997 , -0.015 , 0.6462 , 0.4665
-2.4473 , -10.1222 , -3.0676 , 0.0367 , 0.5956 , 0.1443
-3.6331 , -10.6348 , 29.5444 , -0.5087 , 0.3778 , 0.5805
-3.8846 , -11.9859 , 0.3723 , 0.2908 , 2.1445 , 0.393
-2.6174 , -9.1712 , 5.204 , 0.0947 , -1.5828 , 0.3328
-4.1002 , -7.9711 , -1.0985 , -0.3164 , -0.0435 , 0.2199
-3.6427 , -7.1422 , 0.4154 , -0.9593 , -0.3418 , 0.2705
2.4993 , -12.2302 , 2.248 , 0.0383 , -0.4281 , 0.2226
-1.5011 , -8.9772 , 0.5376 , 0.0234 , -1.4465 , 0.1709
-3.5229 , -13.5621 , 0.2885 , 0.1826 , 0.455 , 0.254
-2.8881 , -8.2969 , 0.4657 , 0.8916 , -6.5581 , -0.9844
-2.6917 , -9.4299 , -6.1721 , 2.2098 , 1.36 , -0.9492
-2.4425 , -9.3269 , -0.7703 , -1.9271 , -0.4707 , -0.6578
-2.1695 , -9.5665 , -0.0397 , 0.5294 , 1.9767 , -0.1444
-1.8772 , -9.2455 , -0.6889 , -0.1615 , 0.6729 , -0.0389
-2.1407 , -9.2886 , -2.761 , 0.5587 , 1.6673 , -0.1487
-2.3036 , -12.695 , -1.9753 , 0.3797 , 1.4899 , 0.0351
-3.3265 , -8.7664 , 18.3887 , -0.1529 , 1.5826 , 0.2125
-3.9781 , -12.4434 , -0.4877 , -0.6435 , 0.5365 , 0.8676
-3.3361 , -7.4345 , -1.4171 , 0.3738 , 1.3546 , 0.2956
-3.7289 , -8.7328 , 1.1365 , 0.2172 , 1.663 , 0.3685
-1.0316 , -9.8252 , 0.6574 , 0.4974 , 2.0945 , 0.4058
-0.8472 , -9.7749 , 0.4849 , 0.5123 , 1.8058 , 0.1768
-1.882 , -9.188 , 0.128 , 0.7014 , 1.6369 , 0.1214
-3.7074 , -8.5939 , 0.1399 , 0.7936 , 1.3978 , -0.032
-3.5085 , -9.7868 , 2.3917 , 0.4889 , 1.2561 , -0.1135
-1.973 , -10.3258 , -0.4661 , 0.4415 , 1.3376 , 0.0495
-2.2677 , -9.5114 , -1.1752 , 0.7856 , 1.2694 , 0.3861
-2.2629 , -9.3461 , -1.5345 , 1.4657 , 2.47 , 0.4271
-2.2868 , -10.2204 , -1.5704 , -0.2057 , 0.2547 , -0.9934
-2.3707 , -9.4874 , -0.9644 , -0.228 , -0.3636 , -1.4062
-2.0808 , -9.6216 , -2.9862 , -0.1433 , 0.9892 , -0.8475
-3.3265 , -9.4682 , -2.3993 , 0.189 , 1.2939 , -0.2722
-3.808 , -9.073 , -1.1512 , 0.2561 , 0.9908 , 0.4218
-2.009 , -10.357 , 3.0576 , -0.546 , 0.4998 , 0.3675
-1.4101 , -9.6695 , -0.9692 , -0.0975 , 0.4444 , 0.5225
-0.2124 , -11.5523 , -3.1011 , -0.1545 , 0.7437 , 0.4197
-2.0593 , -9.5952 , 1.2778 , 0.3573 , -0.4249 , 0.5102
-5.0177 , -9.5353 , 0.0034 , -0.2137 , 0.0481 , 0.0985
-3.1851 , -8.6155 , 0.6813 , -1.1442 , -0.9639 , -0.0677
-1.9108 , -8.6011 , 1.4407 , -0.7117 , -0.4696 , 0.3978
0.2212 , -10.4456 , 0.9736 , 0.3105 , -0.3754 , 0.7664
-3.8463 , -14.5299 , -0.32 , 0.2987 , 2.405 , 0.5209
-2.179 , -6.1266 , 1.1604 , 2.0815 , 0.1035 , -0.8027
-2.9648 , -9.4778 , -1.9154 , 1.6612 , -1.5083 , -1.9362
-1.8581 , -9.2095 , -3.0988 , -1.3759 , -2.1325 , -1.322
-2.6893 , -9.3317 , -1.3189 , 0.417 , 0.5306 , -0.6504
-3.4223 , -9.6287 , -1.1584 , -0.5556 , -0.1682 , 0.1358
-2.6917 , -9.6623 , -0.8494 , 0.0468 , 1.0558 , 0.4964
-1.8964 , -11.2505 , -1.822 , -0.325 , 0.03 , 0.5906
-2.7875 , -9.6383 , 13.0204 , 0.4314 , 1.9283 , 0.7227
0.0464 , -10.5534 , -1.0626 , 0.2561 , 0.3879 , 0.3723
-5.3411 , -9.2982 , -6.6824 , -0.5529 , -0.5586 , 0.2641
-3.2929 , -9.7365 , -0.2122 , -0.5524 , 0.1812 , 0.433
-4.4715 , -6.5026 , 0.4873 , -0.6669 , -1.2073 , 0.1635
-1.3694 , -8.9939 , 0.5448 , -0.2419 , -0.9948 , 0.1416
2.4634 , -12.0937 , 1.0766 , 0.1885 , 0.1338 , 0.3515
-4.6608 , -12.671 , -0.3799 , -1.2928 , -3.0529 , -0.3851
-1.755 , -4.9049 , -0.6554 , 1.9824 , 1.9453 , -1.4605
-2.6534 , -9.2982 , -3.1826 , -2.1183 , -0.5873 , -0.9721
-2.3946 , -8.6322 , -1.6088 , 0.621 , 1.5102 , -0.4256
-1.7335 , -9.8372 , -0.6218 , -0.6035 , -0.2875 , -0.0352
-1.8557 , -9.485 , -0.8805 , 0.1256 , 0.9844 , 0.4095
-2.3132 , -10.3258 , -1.1321 , -0.3766 , 0.4502 , 0.4788
-2.318 , -11.284 , -2.0064 , -0.1833 , 0.8603 , 0.5145
-2.0736 , -9.164 , 0.7101 , -0.1066 , 2.1312 , 0.0974
-6.4574 , -12.9656 , -1.9537 , 0.6609 , -0.8904 , 0.2897
-2.5959 , -7.9807 , 8.5026 , -0.4347 , -0.2236 , 0.0276
-2.5863 , -8.5268 , 0.2405 , -0.6882 , 0.6414 , 0.1512
-0.9406 , -8.7185 , 0.5064 , -0.0272 , -1.4119 , -0.1588
0.1997 , -10.1342 , 0.6622 , 0.1102 , -2.1426 , -0.0166
-0.3513 , -10.1318 , 1.1748 , -0.1316 , -0.9399 , 0.2082
-2.7396 , -14.4341 , 1.4119 , 0.3142 , -1.194 , 0.3696
-3.6714 , -8.4861 , 0.3915 , -1.6811 , -4.1922 , -0.2104
-2.2677 , -9.2862 , -4.2414 , 0.2417 , -2.0777 , -0.7995
-2.9791 , -9.0179 , -0.9452 , -0.5252 , -1.9908 , 0.0314
-2.4833 , -9.6407 , -0.6051 , -0.717 , -1.8571 , 0.0703
-3.1301 , -9.1664 , 0.1256 , 0.1432 , -1.5578 , 0.2146
-3.7984 , -9.4874 , -2.519 , 0.2396 , -1.1083 , 0.4607
-3.3432 , -9.4659 , -1.8076 , 0.0228 , -0.1112 , 0.4085
-2.3851 , -10.896 , -1.5034 , -1.1026 , -0.4888 , 0.3936
-2.7564 , -8.0142 , -0.7751 , -1.787 , -1.2318 , -0.073
-3.669 , -9.9905 , -0.7823 , 0.0639 , 1.4138 , -0.1705
-4.4643 , -7.0392 , -1.4746 , 0.5427 , 0.5488 , -0.0576
0.4033 , -10.9127 , 1.1604 , -0.7995 , -1.7405 , -0.3047
-2.742 , -9.2407 , 5.1441 , -0.7346 , -1.088 , -0.1103
-2.9911 , -10.4432 , 0.4346 , -0.3431 , -0.7061 , 0.0207
-1.2736 , -8.8095 , -0.72 , -0.5263 , -1.684 , 0.0388
0.353 , -9.6479 , -0.1715 , -0.5077 , -1.4065 , 0.0692
-1.5275 , -10.8648 , 0.2909 , -0.6041 , -1.4454 , 0.0782
-3.0438 , -8.3424 , 0.2429 , -0.0688 , -0.2081 , 0.4058
-3.2283 , -9.4898 , -0.8614 , 0.2178 , 1.2225 , -0.1593
-2.1743 , -9.2622 , -4.4019 , 1.6884 , -5.9861 , -1.3247
-3.5373 , -9.3006 , -1.8818 , 1.6612 , -1.4555 , -0.693
