activity,ax,ay,az,gx,gy,gz
standing , 0.5734 , -9.8252 , -0.6075 , 0.0067 , -0.0088 , 0.0052
standing , 0.5135 , -9.8252 , -0.5571 , -0.0157 , -0.0184 , -0.0086
standing , 0.571 , -9.7964 , -0.6434 , -0.0093 , 0.0343 , -0.0033
standing , 0.4967 , -9.8084 , -0.5212 , 0.0061 , 0.005 , 0.0052
standing , 0.535 , -9.8132 , -0.617 , 0.0024 , 0.0034 , 0.0009
standing , 0.5422 , -9.8228 , -0.5691 , 0.0104 , 0.0168 , 0.002
standing , 0.5494 , -9.7964 , -0.4829 , 0.0083 , 0.0114 , 0.0095
standing , 0.571 , -9.8395 , -0.5979 , -0.0051 , -0.0003 , -0.0023
standing , 0.4991 , -9.8132 , -0.5428 , -0.012 , 0.0247 , 0.0121
standing , 0.6117 , -9.8683 , -0.6338 , -0.0013 , 0.005 , 0.0084
standing , 0.5734 , -9.818 , -0.617 , 0.0019 , -0.0269 , -0.0097
standing , 0.4488 , -9.8515 , -0.5787 , 0.0077 , -0.0243 , 0.01
standing , 0.5542 , -9.8228 , -0.5691 , 0.0088 , 0.0008 , 0.0143
standing , 0.5781 , -9.8683 , -0.5739 , -0.0402 , 0.0253 , -0.0012
standing , 0.5566 , -9.8372 , -0.5907 , 0.0003 , 0.02 , 0.0164
standing , 0.5686 , -9.8443 , -0.6003 , -0.0131 , -0.0019 , 0.0084
standing , 0.5087 , -9.8587 , -0.5619 , -0.0104 , -0.0104 , 0.0084
standing , 0.5566 , -9.8419 , -0.5763 , 0.0072 , -0.0179 , 0.0095
standing , 0.5494 , -9.8443 , -0.5979 , -0.0221 , -0.0088 , 0.0031
standing , 0.456 , -9.7916 , -0.5811 , 0.0093 , -0.0232 , 0.0073
standing , 0.5662 , -9.8659 , -0.5308 , -0.0168 , -0.012 , 0.0047
standing , 0.6165 , -9.8419 , -0.6194 , -0.0045 , 0.0274 , -0.0028
standing , 0.5662 , -9.83 , -0.5212 , -0.0109 , 0.0226 , 0.0084
standing , 0.5254 , -9.8012 , -0.5452 , -0.0088 , 0.0125 , 0.0031
standing , 0.5254 , -9.8587 , -0.6098 , -0.0184 , 0.0034 , 0.0052
standing , 0.4967 , -9.8228 , -0.5548 , 0.013 , -0.0109 , 0.0047
standing , 0.5614 , -9.794 , -0.6793 , -0.0136 , -0.0077 , 0.0015
standing , 0.4656 , -9.8659 , -0.5476 , 0.0083 , 0.0104 , 0.0009
