activity,ax,ay,az,gx,gy,gz
walking , 1.3926 , -8.9772 , 0.7987 , 0.216 , -0.3289 , 0.5251
walking , 2.4562 , -8.9053 , 0.7771 , 0.3358 , 0.9137 , 0.6444
walking , 2.9353 , -9.703 , 1.8671 , 3.0144 , -5.6888 , -0.8752
walking , 1.8142 , -13.9454 , -1.2974 , -0.3017 , 2.0109 , -1.2784
walking , -1.0316 , -4.1024 , 3.9176 , -0.633 , 0.2101 , -0.6686
walking , 0.5159 , -9.3676 , -2.4807 , 0.0136 , 0.9015 , -0.268
walking , 1.0237 , -9.5593 , -0.9979 , -0.3417 , 0.519 , -0.202
walking , 0.9686 , -9.394 , -0.3487 , -0.0839 , 1.6056 , -0.031
walking , 0.5326 , -9.7892 , -0.5356 , -0.1478 , 1.7622 , 0.2758
walking , 1.2465 , -9.8467 , -2.4041 , -0.665 , 1.7611 , 0.0904
walking , 1.0141 , -10.0623 , -0.6793 , -0.7412 , 1.5891 , 0.5863
walking , 2.7341 , -10.9966 , -1.1752 , 0.2708 , 3.8592 , 0.6886
walking , -1.2568 , -8.5939 , 22.1975 , -0.1867 , 1.7318 , -0.0166
walking , -1.0891 , -12.5824 , -4.4163 , -0.4248 , 0.1393 , -0.0827
walking , -0.8999 , -7.595 , -1.1776 , -0.1329 , 0.9851 , -0.0789
walking , 0.0775 , -9.3173 , 1.788 , -0.1473 , 1.0783 , -0.0086
walking , 2.8754 , -9.1832 , 0.2573 , -0.0535 , 1.6924 , 0.0995
walking , 2.4227 , -9.2407 , 2.1282 , 0.183 , 1.1513 , -0.0188
walking , 2.4802 , -8.7831 , 0.8753 , 0.1936 , 0.8077 , -0.1082
walking , 1.4046 , -9.37 , 0.5855 , 0.3742 , 0.9185 , -0.0246
walking , -1.8245 , -7.4513 , 1.3736 , 0.1398 , 1.6019 , 0.1149
walking , 0.7698 , -10.1773 , -1.4411 , 1.7153 , -1.955 , -0.1322
walking , 2.4155 , -10.7283 , 0.1327 , 0.4178 , 1.4245 , 0.2049
walking , 1.0596 , -9.8994 , -0.4685 , -0.1952 , 0.6176 , -0.4065
walking , 0.868 , -10.0551 , -1.3141 , -0.8386 , 0.8546 , -0.7591
walking , 0.2428 , -9.8036 , -1.2159 , -0.6197 , 1.7547 , -0.6371
walking , 0.5925 , -9.8707 , -1.0865 , -0.2714 , 1.3585 , -0.7213
walking , 1.1986 , -9.897 , -0.5763 , -0.0647 , 1.0421 , -0.6893
walking , 1.1435 , -9.8611 , -1.7142 , -0.0354 , 0.9478 , -0.2867
walking , 0.1254 , -9.7988 , -1.4674 , -0.3039 , 0.6612 , 0.3045
walking , 0.3578 , -9.7222 , -1.0338 , -0.5004 , 0.7305 , 0.5586
walking , 1.1794 , -10.9846 , 1.8144 , -0.8482 , 0.2777 , 0.7466
walking , 0.2979 , -10.2396 , -3.2569 , -0.0045 , 0.1302 , 0.1346
walking , 2.6431 , -8.9053 , 1.1628 , -0.1318 , 1.1454 , 0.4691
walking , 1.5076 , -8.9053 , -2.7945 , -0.0642 , 1.164 , 0.0601
walking , -0.1956 , -10.6325 , 0.0393 , -0.1265 , 0.3619 , 0.0382
walking , 1.1794 , -9.8611 , 1.2035 , -0.3614 , -0.6869 , -0.0161
walking , 1.6226 , -10.1869 , 1.1676 , -0.0876 , -0.3358 , 0.0276
walking , 1.3016 , -9.4275 , 0.9424 , -0.0993 , -0.4413 , 0.1868
walking , 1.1267 , -8.4957 , 1.3544 , 0.0413 , -0.4866 , 0.3472
walking , 1.3902 , -8.6969 , 0.9855 , 0.2735 , -0.1292 , 0.5352
walking , 3.0527 , -9.279 , 1.0766 , 0.2506 , 0.4343 , 0.5533
walking , 4.593 , -12.5608 , 4.6434 , -0.8626 , -1.8203 , -0.5056
walking , 0.2212 , -9.0131 , -1.6495 , 0.5217 , 2.591 , -1.8127
walking , 1.5914 , -9.2551 , -0.8015 , -1.2605 , -1.1343 , -1.0792
walking , 0.6261 , -10.0 , 0.1327 , -0.2384 , 1.9017 , -0.8039
walking , 1.3734 , -9.7437 , -1.4483 , -0.183 , -0.1723 , -0.2158
walking , 0.6572 , -9.8659 , -0.641 , -0.0296 , 0.9292 , 0.2204
walking , 0.2955 , -9.8084 , -1.1488 , -0.1814 , 0.1632 , 0.295
walking , 0.7434 , -9.7677 , -1.2902 , -0.5856 , -0.1217 , 0.5986
walking , 1.0309 , -9.8419 , -0.6793 , -0.6298 , 1.1758 , 0.3626
walking , 1.5052 , -10.0743 , -1.3884 , 0.2272 , 0.6724 , 0.2262
walking , 2.7628 , -11.5882 , -1.2399 , -0.1292 , 1.5188 , 0.2417
walking , 0.2667 , -8.4071 , 7.5779 , -0.2288 , -1.5055 , 0.1863
walking , 0.3793 , -11.6984 , -5.8559 , -0.5995 , -0.3039 , 0.1213
walking , 2.0681 , -8.1891 , -1.3908 , 0.249 , -0.5217 , 0.1069
walking , -1.6041 , -9.7485 , 1.249 , 0.1355 , -1.2477 , 0.1352
walking , 1.8933 , -9.1161 , 1.1221 , -0.0573 , -0.7588 , 0.4116
walking , 1.9699 , -8.7424 , 0.6789 , 0.3401 , 0.8381 , 0.7285
walking , 2.8946 , -9.5305 , 1.8048 , -1.1822 , -0.7263 , -0.2403
walking , 2.5161 , -9.8252 , 1.3425 , 0.9595 , 0.8903 , -2.6265
walking , 3.4096 , -12.0865 , -1.3213 , -0.7044 , -0.811 , -0.6148
walking , 0.0056 , -10.5965 , -1.9609 , -0.2181 , 0.592 , -0.6441
walking , 0.892 , -10.0599 , -3.2616 , -0.4791 , -0.3593 , -0.0885
walking , 0.3985 , -9.2215 , -1.5704 , -0.2272 , 0.8876 , 0.41
walking , 1.7855 , -9.9426 , -0.023 , -0.5121 , 0.176 , 0.3312
walking , 1.3231 , -9.6743 , -0.6266 , -0.0471 , 0.0567 , 0.288
walking , 1.0213 , -9.6216 , -0.8207 , -0.3598 , 2.6298 , 0.4638
walking , 0.5853 , -10.127 , -1.5944 , -0.151 , -0.6363 , 0.189
walking , 1.5004 , -10.2348 , -1.0842 , 0.2144 , 0.3694 , -0.0571
walking , 3.7066 , -11.7152 , 0.4585 , -0.2724 , -2.028 , 0.1783
walking , -0.2315 , -9.2383 , -4.251 , -0.1563 , -0.1105 , -0.006
walking , -2.7755 , -12.4243 , -1.2303 , 0.7236 , -1.2674 , 0.0228
walking , 1.3495 , -8.9772 , 0.9879 , 0.2676 , -1.7084 , 0.0974
walking , 0.226 , -8.6945 , 1.5844 , 0.4141 , -1.13 , 0.1485
walking , 2.9233 , -9.2383 , 1.1436 , 0.4301 , -1.6195 , -0.1397
walking , 3.7258 , -9.6862 , 0.8706 , -0.2527 , -4.6741 , -0.5391
walking , 2.1017 , -13.4974 , 2.0204 , 0.1478 , -1.5199 , -0.0965
walking , -0.5884 , -6.5026 , -4.0426 , -0.0163 , -1.2269 , 0.0121
walking , 1.4453 , -9.6886 , -0.3871 , 0.1244 , -2.0594 , -0.3799
walking , 1.1674 , -9.6551 , -3.0341 , 0.7843 , -1.7532 , 0.1139
walking , -0.1381 , -8.9125 , -1.0889 , 1.2626 , -1.6557 , 0.4233
walking , 1.5699 , -10.2276 , -1.2015 , 0.8631 , -0.9851 , 0.7152
walking , 0.1541 , -9.497 , 0.6358 , -0.6831 , -0.0397 , 0.6113
walking , 0.2045 , -9.9426 , -2.4855 , -1.2424 , -3.3175 , 0.1549
walking , 0.4847 , -10.0551 , -1.2303 , -0.1111 , 0.2005 , 0.01
walking , 1.9699 , -10.2348 , -0.4062 , 0.2687 , 0.9446 , -0.3405
walking , 0.9471 , -10.769 , 0.7867 , -0.0919 , 0.8024 , 0.0425
walking , 0.9327 , -10.012 , 0.746 , -0.2474 , -1.4427 , 0.035
walking , 0.9542 , -9.6335 , -0.1667 , -0.2906 , -1.0112 , 0.1533
walking , 4.375 , -9.3628 , -0.5476 , 0.232 , -0.4328 , 0.027
walking , 1.3854 , -9.6144 , 2.2647 , 0.0056 , -1.5779 , 0.1107
walking , -0.0231 , -9.9761 , 2.3701 , -0.0748 , -2.044 , 0.2076
walking , 0.892 , -9.7102 , 0.0537 , 0.322 , -0.7284 , 0.524
walking , 1.8885 , -9.4443 , -1.8675 , -0.3007 , 0.3156 , -0.2574
walking , 4.4876 , -8.3855 , 0.6813 , 3.1753 , -5.9354 , -1.0883
