activity,ax,ay,az,gx,gy,gz
sitting , -9.7416 , 0.9138 , 1.5892 , 0.0035 , 0.0517 , 0.0103
sitting , -9.5739 , 1.0407 , 1.6802 , -0.0029 , 0.0416 , 0.0247
sitting , -9.7104 , 0.8922 , 1.6036 , -0.0082 , -0.0063 , 0.0199
sitting , -9.847 , 0.8347 , 1.3784 , -0.0945 , -0.0814 , -0.0062
sitting , -9.7296 , 0.976 , 1.4311 , -0.0152 , -0.0399 , 0.0183
sitting , -9.7272 , 0.9856 , 1.4646 , 0.0088 , 0.0054 , 0.0172
sitting , -9.732 , 0.9114 , 1.4335 , -0.0024 , -0.0122 , 0.0002
sitting , -9.7895 , 0.9497 , 1.3688 , 0.004 , 0.0123 , 0.0023
sitting , -9.8422 , 0.9449 , 1.3592 , 0.0029 , 0.0166 , -0.0052
sitting , -9.7967 , 0.9928 , 1.1892 , 0.0088 , 0.024 , 0.005
sitting , -9.7775 , 1.0287 , 1.1412 , 0.0088 , 0.0193 , 0.0012
sitting , -9.7727 , 0.8563 , 1.6084 , 0.0014 , -0.0052 , 0.0002
sitting , -9.6817 , 0.9832 , 1.467 , 0.0019 , 0.0049 , 0.0012
sitting , -9.7464 , 0.9928 , 1.4311 , 0.004 , 0.0134 , -0.0025
sitting , -9.7344 , 1.0144 , 1.5245 , 0.0115 , 0.0161 , -0.0073
sitting , -9.7655 , 1.0096 , 1.5317 , 0.0072 , 0.0134 , -0.0036
sitting , -9.7631 , 0.9689 , 1.5006 , 0.004 , 0.0049 , 0.0012
sitting , -9.7583 , 1.0192 , 1.4742 , 0.0056 , 0.0209 , 0.005
sitting , -9.7799 , 0.9928 , 1.3976 , 0.0093 , 0.0107 , -0.003
sitting , -9.7607 , 1.0048 , 1.4622 , 0.0051 , 0.0027 , -0.0046
sitting , -9.7272 , 1.0479 , 1.4574 , 0.0051 , 0.0166 , -0.0004
sitting , -9.7464 , 1.0192 , 1.4598 , 0.0077 , 0.0065 , -0.0089
sitting , -9.7823 , 1.0168 , 1.4598 , 0.0024 , 0.0129 , 0.0012
sitting , -9.7535 , 1.0072 , 1.4263 , 0.0035 , 0.0155 , 0.0018
sitting , -9.7919 , 0.9641 , 1.4359 , 0.0029 , 0.0059 , 0.0023
sitting , -9.7416 , 0.9904 , 1.4622 , 0.0035 , 0.0086 , -0.002
sitting , -9.7464 , 1.0024 , 1.4335 , 0.0029 , 0.0059 , 0.0012
sitting , -9.7679 , 0.9904 , 1.4455 , 0.0035 , 0.0091 , -0.0041
sitting , -9.7607 , 1.0407 , 1.4167 , 0.0029 , 0.0022 , 0.0023
sitting , -9.7847 , 1.0048 , 1.479 , 0.0014 , 0.0086 , -0.0036
sitting , -9.7895 , 0.9952 , 1.4407 , 0.0035 , 0.007 , -0.0025
sitting , -9.7703 , 1.0216 , 1.4191 , 0.0029 , 0.007 , -0.0025
