activity,ax,ay,az,gx,gy,gz
walking , 3.2395 , -10.1725 , -1.0051 , -0.2176 , 1.5241 , -0.5258
walking , 2.5305 , -13.8256 , -1.58 , -0.2234 , 1.3398 , -0.4076
walking , -1.6449 , -5.3959 , 2.8804 , -0.4855 , 0.3443 , 0.2044
walking , 0.7051 , -9.6168 , -1.4459 , -0.5979 , 1.4783 , 0.8611
walking , 1.8717 , -9.4084 , -2.3514 , -0.0754 , 0.6533 , 0.5283
walking , 0.9782 , -9.7916 , -0.847 , -0.6831 , 0.6873 , 0.4223
walking , 0.9255 , -9.509 , -0.0565 , 0.7071 , 0.9792 , 0.4276
walking , 0.5302 , -9.6671 , 0.0154 , -0.1766 , -0.8541 , 0.0729
walking , -0.0878 , -10.4911 , -2.9287 , -0.4088 , -0.8541 , 0.1719
walking , 1.8525 , -11.0517 , -1.0147 , -0.184 , -0.9633 , 0.1911
walking , 1.3423 , -12.7716 , 1.3592 , 0.1979 , -2.3375 , 0.2204
walking , -2.3659 , -16.4726 , 0.1926 , 0.4056 , 0.3017 , 0.5842
walking , 6.0135 , -10.0192 , 1.376 , -1.0048 , 1.2706 , 0.8111
walking , -0.4687 , -7.5087 , 0.4561 , 1.1966 , -1.4688 , -3.5677
walking , 2.1903 , -5.0725 , 0.9784 , -0.9958 , -1.2813 , -0.8561
walking , 1.1243 , -7.0249 , 1.17 , -0.0594 , 1.1784 , -1.3344
walking , 2.2813 , -8.7879 , 1.6036 , 0.0168 , 0.4162 , -0.6499
walking , 3.6635 , -12.1464 , 0.8825 , -0.1116 , 1.0623 , 0.3386
walking , 5.4386 , -11.0038 , 8.663 , -0.3715 , -0.0488 , 0.6018
walking , -2.972 , -6.8093 , 0.3675 , -0.9516 , -0.0104 , 1.0795
walking , -1.5969 , -9.4802 , -2.3729 , -1.5358 , -0.4445 , 1.9557
walking , 0.2643 , -8.8143 , -1.8603 , 0.9808 , 0.8226 , -1.4558
walking , 0.5997 , -10.1102 , -0.1427 , 1.1763 , 2.1047 , -0.1248
walking , 1.304 , -9.794 , -0.7512 , -1.2983 , -1.9817 , 0.3749
walking , 1.0548 , -9.8348 , -0.962 , -0.0983 , -1.5401 , 0.1458
walking , 1.9124 , -9.3173 , -2.1022 , 0.0626 , -2.1276 , 0.1996
walking , 2.794 , -12.5704 , 1.5844 , 0.1957 , -1.8134 , 0.141
walking , 0.341 , -11.1044 , -1.0267 , 0.5137 , -1.2664 , 0.3072
walking , 0.9087 , -8.637 , 0.4561 , 0.0541 , 0.462 , -0.1333
walking , -0.277 , -8.0453 , -0.5715 , 2.1851 , -10.2029 , -2.0476
walking , -0.2171 , -8.007 , -0.6386 , 0.845 , 0.9057 , -0.9418
walking , 6.4423 , -11.5691 , -0.3487 , 0.4189 , -0.2352 , -0.4449
walking , 5.2853 , -13.4711 , 0.6047 , 0.1648 , -0.4733 , 0.3594
walking , 0.5853 , -7.7722 , -0.296 , -0.4759 , -0.2384 , 1.316
walking , 0.1182 , -10.3737 , -0.6769 , -0.1872 , 0.7465 , 0.5559
walking , -1.3718 , -8.6418 , -4.5312 , -0.1926 , 0.2 , -0.6153
walking , 0.8273 , -10.1629 , -0.9524 , 0.9617 , 2.2432 , 0.4819
walking , 1.4549 , -9.9497 , 1.0598 , -0.7907 , -1.6541 , 0.2641
walking , 1.2489 , -9.9521 , -1.4363 , 0.2341 , 1.0101 , 0.5714
walking , 1.1674 , -10.8337 , -2.6077 , -0.8738 , -0.5777 , 0.5948
walking , 3.5461 , -13.4519 , -1.0698 , 0.4184 , -1.5934 , 0.3296
walking , 1.0165 , -8.8095 , -4.3684 , 0.3097 , -0.2677 , 0.3541
walking , -4.6152 , -12.9992 , -4.675 , -0.6954 , 2.4296 , 0.41
walking , 4.4948 , -9.473 , 6.9527 , 2.338 , -2.8168 , -3.3797
walking , -1.9635 , -7.9974 , 1.2155 , -0.5041 , -1.2003 , -0.5951
walking , 4.4325 , -9.9521 , 1.6371 , -0.5185 , -0.1851 , -0.7447
walking , 3.5653 , -10.0575 , 0.0872 , -0.3156 , -0.5484 , -0.251
walking , 2.5592 , -14.5179 , 0.7747 , -0.1622 , 0.7582 , 0.5661
walking , 0.5254 , -6.8141 , -0.9093 , -0.3294 , 1.2647 , 0.3887
walking , 0.8105 , -10.5031 , 0.7125 , -0.477 , -0.3944 , 0.1517
walking , -0.186 , -9.6335 , -4.1911 , 0.3981 , 2.4983 , 0.3141
walking , 0.995 , -9.8731 , -1.1249 , 1.0858 , -0.3785 , 0.2806
walking , 1.3687 , -9.8563 , 0.976 , -0.0242 , -0.5787 , 0.2465
walking , 1.213 , -9.7605 , -1.3213 , -0.3886 , 0.9121 , 0.4942
walking , 0.3386 , -9.806 , -2.2316 , -0.2085 , -1.4565 , 0.3962
walking , 2.4179 , -14.0197 , -2.9143 , 0.086 , 0.1584 , 0.3578
walking , 0.2212 , -9.5353 , -1.5489 , 0.1707 , -1.2461 , 0.2438
walking , -2.754 , -13.3633 , -3.2065 , -0.5558 , 2.8306 , -0.5146
walking , 1.7615 , -8.5484 , 1.7401 , 2.5217 , -0.2831 , -2.1349
walking , -1.2424 , -8.6514 , 0.7628 , -0.9025 , -2.974 , -0.651
walking , 1.9268 , -9.1401 , 0.0968 , -0.5547 , 1.8362 , -0.3288
walking , 5.2326 , -9.8635 , 0.0417 , -0.0477 , 0.4524 , 0.2204
walking , 1.6849 , -9.7557 , 0.1232 , -0.3204 , -0.8738 , 0.4595
walking , 0.6045 , -7.1614 , -1.1105 , 0.045 , 0.5909 , 0.1149
walking , 0.3075 , -11.2289 , 0.5615 , -0.0754 , 0.0919 , 0.4281
walking , 0.9375 , -9.5449 , -2.9646 , -0.2112 , 0.7726 , -0.267
walking , 0.1541 , -9.9929 , -0.8614 , 0.9121 , -0.9095 , 0.0894
walking , 0.9614 , -9.9138 , -1.0674 , -0.3353 , -0.5132 , 0.0814
walking , 0.2524 , -10.0935 , -1.0219 , 0.3736 , -1.5886 , 0.0835
walking , 0.9782 , -9.7653 , -2.0376 , 0.3699 , -1.3351 , 0.0739
walking , 2.4873 , -10.2827 , 0.0753 , 0.3534 , -2.3939 , 0.1591
walking , 2.0538 , -9.7605 , -1.0027 , 0.0743 , -1.8592 , 0.3488
walking , 0.8967 , -9.2095 , 0.4537 , 0.2032 , -3.1039 , -0.1216
walking , -1.3646 , -10.0408 , 1.0095 , 0.119 , -2.5788 , -0.5525
walking , 3.0647 , -9.1281 , -2.4735 , -0.4306 , -4.4456 , -1.2497
walking , 2.2574 , -9.909 , 1.1436 , 0.6511 , -1.2626 , 0.0675
walking , 0.4464 , -9.5186 , -1.3261 , 0.9723 , -0.9292 , -0.0534
walking , 3.1629 , -8.522 , -1.2087 , 1.0778 , -3.8443 , -0.3021
walking , 2.8802 , -8.0094 , 0.5615 , 0.9276 , -0.5654 , 0.0835
walking , 2.7652 , -14.3838 , -0.1787 , -0.4711 , 0.4104 , 0.6385
walking , -1.3095 , -6.1313 , 2.7223 , -1.0075 , -2.2906 , 0.6406
walking , 0.4799 , -10.1605 , -2.1214 , -0.5553 , -0.3923 , -0.4955
walking , 0.2332 , -10.3666 , -2.9598 , 1.3942 , 2.5047 , -0.129
walking , 0.1326 , -9.8515 , -0.8686 , -1.318 , -1.7564 , 0.051
walking , 1.2489 , -9.8683 , 0.0465 , 0.4285 , -0.3891 , -0.0651
walking , 1.5938 , -9.9162 , 0.1471 , -0.8189 , -0.4488 , 0.4148
walking , 0.971 , -10.333 , -1.7309 , 0.3619 , -0.4685 , 0.434
walking , 1.1914 , -9.9378 , -0.9284 , -0.0674 , -1.155 , 0.2348
walking , 3.0958 , -11.6721 , 0.9736 , 0.0988 , 0.2895 , 0.3488
walking , 0.6021 , -9.7461 , -9.3054 , 0.1558 , 2.2021 , 0.2928
walking , -3.0893 , -10.6756 , -2.5741 , 3.3431 , -5.1972 , -2.7464
walking , 2.4107 , -9.1161 , 3.3571 , -0.1542 , -0.7721 , -0.8997
walking , -1.1418 , -8.249 , 1.0023 , -1.1524 , 0.3028 , -0.3346
walking , 4.7559 , -9.9066 , 1.8455 , -0.1068 , 0.5521 , -0.1327
walking , 3.9127 , -9.3461 , 0.3459 , -0.4258 , 0.1062 , 0.4888
walking , 2.1616 , -13.4807 , 0.8897 , -0.1254 , 1.2471 , 0.2033
walking , 1.0812 , -8.2609 , -1.0746 , -0.7124 , -0.4892 , 0.5666
walking , 0.4512 , -9.9665 , 1.1077 , 0.2889 , 2.7108 , 0.3104
walking , 0.8584 , -10.2061 , -4.0042 , 1.4533 , 0.8423 , 0.5309
walking , 1.1626 , -10.3546 , -0.3487 , -1.0751 , -0.5015 , 0.434
walking , 1.6513 , -9.8491 , 0.7652 , -0.0035 , 0.2181 , 0.4713
walking , 1.1171 , -9.9593 , -0.6649 , -0.2884 , -1.8602 , 0.4627
walking , 0.6883 , -10.2204 , -2.8233 , 0.1334 , -0.8562 , 0.2582
walking , 2.6934 , -11.7703 , -1.2423 , 0.3028 , -0.4498 , 0.3573
walking , 1.3926 , -9.1616 , -5.0678 , -0.2181 , 2.8429 , 0.2364
