activity,ax,ay,az,gx,gy,gz
sitting , 7.3358 , -2.0734 , 6.3059 , 0.0093 , 0.0182 , -0.0041
sitting , 7.2759 , -2.0902 , 6.2772 , 0.004 , 0.0027 , -0.0052
sitting , 7.3382 , -2.0638 , 6.2843 , 0.004 , -0.001 , -0.0105
sitting , 7.2735 , -2.0998 , 6.3299 , 0.0088 , 0.0049 , -0.0132
sitting , 7.3334 , -2.0998 , 6.2652 , 0.0173 , 0.0177 , -0.011
sitting , 7.2975 , -2.0638 , 6.27 , 0.0056 , 0.007 , 0.0028
sitting , 7.2951 , -2.0902 , 6.2843 , 0.0029 , 0.0219 , -0.0025
sitting , 7.2639 , -2.0447 , 6.2939 , -0.0002 , 0.0091 , 0.0007
sitting , 7.2975 , -2.1285 , 6.2939 , 0.004 , 0.0193 , 0.0012
sitting , 7.3118 , -2.0518 , 6.3083 , -0.004 , 0.0166 , 0.0135
sitting , 7.3142 , -2.0279 , 6.2628 , 0.0019 , 0.0294 , 0.0081
sitting , 7.2951 , -2.0423 , 6.3203 , 0.0088 , 0.0027 , -0.0041
sitting , 7.3286 , -2.0686 , 6.2388 , 0.0136 , 0.0011 , -0.0371
sitting , 7.2903 , -2.0399 , 6.2915 , 0.0147 , -0.0111 , -0.0488
sitting , 7.3693 , -2.0447 , 6.3275 , 0.044 , -0.0095 , -0.0297
sitting , 7.3142 , -1.9968 , 6.2819 , 0.0008 , 0.0107 , -0.0009
sitting , 7.3238 , -1.9345 , 6.3322 , 0.0014 , 0.0251 , -0.0004
sitting , 7.3094 , -1.9872 , 6.3299 , -0.0008 , -0.0276 , 0.0124
sitting , 7.2879 , -2.0039 , 6.2772 , 0.0029 , 0.0118 , 0.0108
sitting , 7.2807 , -1.968 , 6.3275 , -0.0034 , -0.0031 , 0.005
sitting , 7.3238 , -2.0423 , 6.3059 , 0.0003 , 0.0177 , 0.0039
sitting , 7.2687 , -1.9896 , 6.3442 , -0.0029 , 0.0102 , 0.0081
sitting , 7.3118 , -2.0063 , 6.3418 , 0.0045 , 0.0193 , 0.006
sitting , 7.2807 , -1.9848 , 6.2772 , -0.0034 , -0.0063 , 0.0087
sitting , 7.343 , -1.992 , 6.2724 , 0.004 , 0.0086 , 0.0108
sitting , 7.3645 , -1.8099 , 6.2125 , -0.0066 , 0.0049 , 0.0119
sitting , 7.3885 , -1.8866 , 6.3179 , 0.0029 , 0.0235 , 0.005
sitting , 7.2256 , -1.8482 , 6.3969 , 0.0024 , 0.0123 , -0.002
sitting , 7.4412 , -1.9273 , 6.2029 , 0.0104 , 0.0145 , 0.0023
