activity,ax,ay,az,gx,gy,gz
sitting , 9.6474 , -1.2853 , 0.528 , 0.0029 , 0.0086 , 0.0039
sitting , 9.6115 , -1.3787 , 0.5759 , 0.0035 , 0.0054 , 0.0023
sitting , 9.6402 , -1.3859 , 0.5304 , 0.0051 , 0.0081 , 0.0055
sitting , 9.6139 , -1.3356 , 0.5376 , 0.0024 , 0.0065 , -0.0046
sitting , 9.6426 , -1.3596 , 0.5639 , 0.0024 , 0.0139 , 0.0018
sitting , 9.6378 , -1.3452 , 0.5591 , 0.004 , 0.0027 , -0.003
sitting , 9.657 , -1.3691 , 0.5328 , 0.0019 , 0.0091 , -0.0009
sitting , 9.6067 , -1.3835 , 0.5687 , 0.0067 , -0.002 , 0.0012
sitting , 9.6594 , -1.3476 , 0.5448 , 0.0024 , 0.0123 , 0.0044
sitting , 9.6331 , -1.3236 , 0.5256 , 0.004 , 0.0129 , -0.003
sitting , 9.6929 , -1.3596 , 0.552 , 0.0045 , 0.0075 , -0.0009
sitting , 9.6115 , -1.3596 , 0.5496 , 0.0019 , 0.0059 , 0.0007
sitting , 9.6235 , -1.3691 , 0.516 , 0.0029 , 0.0054 , 0.0002
sitting , 9.657 , -1.3308 , 0.6047 , 0.0051 , -0.0015 , 0.0018
sitting , 9.6426 , -1.3931 , 0.5615 , 0.0029 , 0.0129 , 0.0034
sitting , 9.6211 , -1.3332 , 0.5304 , 0.004 , 0.0097 , -0.002
sitting , 9.645 , -1.3643 , 0.5352 , 0.0024 , 0.0113 , 0.0018
sitting , 9.6594 , -1.3763 , 0.5711 , 0.0008 , 0.0075 , -0.0014
sitting , 9.6618 , -1.3476 , 0.5232 , 0.0014 , 0.0113 , 0.0012
sitting , 9.6283 , -1.3715 , 0.5472 , 0.0029 , 0.0054 , 0.0028
sitting , 9.6594 , -1.338 , 0.552 , 0.0024 , 0.0198 , 0.0012
sitting , 9.6235 , -1.35 , 0.5352 , 0.0035 , 0.0139 , 0.0002
sitting , 9.6714 , -1.3524 , 0.5304 , 0.0029 , 0.0097 , 0.0007
sitting , 9.6259 , -1.3476 , 0.5424 , 0.0024 , -0.0005 , -0.0025
sitting , 9.6618 , -1.3907 , 0.5663 , 0.0008 , 0.0086 , -0.0004
sitting , 9.6187 , -1.3979 , 0.5496 , 0.0014 , -0.0047 , 0.0023
sitting , 9.6378 , -1.3572 , 0.5615 , 0.0035 , 0.0043 , -0.0057
sitting , 9.5947 , -1.3619 , 0.5208 , 0.0035 , 0.0038 , 0.0007
sitting , 9.6546 , -1.3667 , 0.5136 , 0.0014 , 0.0022 , 0.0002
sitting , 9.6139 , -1.3548 , 0.552 , 0.0024 , 0.0097 , -0.0014
sitting , 9.6331 , -1.3524 , 0.5544 , 0.0019 , 0.0097 , -0.002
sitting , 9.657 , -1.3907 , 0.5687 , 0.0045 , 0.0059 , -0.0009
sitting , 9.6714 , -1.3596 , 0.54 , 0.0029 , 0.0038 , -0.0041
sitting , 9.6426 , -1.3667 , 0.5232 , 0.0019 , 0.0177 , 0.0002
sitting , 9.6307 , -1.3643 , 0.4945 , 0.0008 , -0.0218 , -0.003
sitting , 9.6259 , -1.3164 , 0.54 , 0.0056 , 0.0107 , -0.003
sitting , 9.6355 , -1.3715 , 0.5352 , -0.0002 , 0.0251 , 0.0044
sitting , 9.657 , -1.3524 , 0.4921 , 0.0014 , -0.0036 , -0.01
sitting , 9.657 , -1.3428 , 0.516 , 0.0008 , 0.007 , -0.0041
sitting , 9.6307 , -1.3715 , 0.5088 , 0.0045 , 0.0102 , 0.0007
sitting , 9.681 , -1.35 , 0.5112 , 0.0014 , -0.009 , 0.0018
sitting , 9.6426 , -1.3715 , 0.5017 , 0.0019 , 0.0065 , 0.0002
sitting , 9.6043 , -1.326 , 0.5903 , 0.0003 , -0.0026 , 0.0012
sitting , 9.645 , -1.3691 , 0.4537 , 0.0056 , 0.0059 , -0.0052
sitting , 9.657 , -1.3524 , 0.5112 , 0.0008 , 0.0075 , -0.0004
sitting , 9.6091 , -1.3284 , 0.516 , 0.0019 , 0.0145 , 0.0055
sitting , 9.645 , -1.3332 , 0.504 , 0.0035 , 0.0171 , -0.0014
sitting , 9.6498 , -1.3476 , 0.5232 , 0.0019 , 0.0017 , -0.0073
sitting , 9.6307 , -1.35 , 0.5615 , 0.004 , 0.0054 , 0.0039
sitting , 9.6283 , -1.3548 , 0.4849 , 0.0019 , 0.0246 , 0.0007
sitting , 9.6642 , -1.3548 , 0.4897 , 0.0029 , 0.0065 , 0.0007
sitting , 9.6594 , -1.3452 , 0.528 , 0.0003 , 0.0065 , 0.0023
sitting , 9.6522 , -1.3739 , 0.4633 , 0.0035 , 0.0081 , 0.0039
sitting , 9.6522 , -1.338 , 0.4825 , 0.0019 , 0.0294 , -0.0046
sitting , 9.6283 , -1.3236 , 0.4825 , 0.0029 , -0.0079 , -0.003
sitting , 9.6019 , -1.3715 , 0.4705 , 0.0067 , -0.0138 , -0.0046
