ax,ay,az,gx,gy,gz
9.0869 , -0.8948 , 3.4649 , -0.0027 , 0.0029 , 0.0034
9.1252 , -0.8637 , 3.5056 , 0.0021 , -0.0035 , -0.0014
9.1156 , -0.9427 , 3.3978 , -0.0027 , -0.0056 , 0.0018
9.1659 , -0.9068 , 3.417 , -0.0043 , -0.0051 , 0.0002
9.0534 , -0.8948 , 3.4337 , -0.0001 , -0.012 , -0.0009
9.0965 , -0.9044 , 3.4337 , 0.0042 , 0.0002 , -0.0009
9.13 , -0.902 , 3.5176 , 0.0015 , -0.0024 , 0.0007
9.0893 , -0.9691 , 3.4697 , 0.0031 , 0.0034 , -0.0014
9.13 , -0.8924 , 3.4457 , 0.001 , -0.0035 , 0.0039
9.0845 , -0.9044 , 3.472 , 0.001 , 0.0077 , 0.0018
9.1108 , -0.9356 , 3.4649 , -0.0038 , 0.0082 , -0.0009
9.0438 , -0.89 , 3.4601 , -0.0027 , -0.0259 , -0.0014
9.1108 , -0.914 , 3.4601 , -0.0017 , -0.011 , -0.0009
9.0749 , -0.9403 , 3.4601 , -0.0033 , 0.0013 , 0.0013
9.1156 , -0.9379 , 3.4601 , 0.0052 , 0.004 , -0.0014
9.1156 , -0.8948 , 3.5008 , -0.0011 , 0.0082 , -0.0003
9.0965 , -0.9236 , 3.5271 , 0.0026 , 0.0146 , -0.0009
9.154 , -0.9068 , 3.4768 , 0.0021 , 0.0002 , -0.003
9.039 , -0.8541 , 3.4864 , -0.0011 , -0.0088 , -0.0019
9.0653 , -0.8972 , 3.484 , -0.0065 , -0.0035 , -0.0019
9.1037 , -0.9092 , 3.4697 , 0.0031 , 0.0056 , -0.0046
9.1132 , -0.8924 , 3.4122 , -0.0038 , -0.0019 , 0.0023
9.1588 , -0.89 , 3.4601 , -0.0081 , -0.0088 , -0.0014
9.0486 , -0.9356 , 3.4457 , -0.0011 , 0.0024 , -0.0003
9.1204 , -0.9092 , 3.4864 , -0.007 , 0.0088 , 0.0034
9.154 , -0.902 , 3.4864 , 0.0015 , 0.0114 , 0.0018
9.0821 , -0.8972 , 3.4553 , 0.0021 , -0.0333 , -0.0014
9.118 , -0.8948 , 3.4984 , -0.0033 , -0.0232 , 0.0018
9.1348 , -0.8421 , 3.4529 , 0.0063 , 0.0024 , -0.0009
9.142 , -0.9547 , 3.4385 , 0.0026 , 0.0072 , 0.0007
9.0653 , -0.902 , 3.5008 , -0.0011 , 0.0093 , -0.0009
9.1156 , -0.8876 , 3.4744 , 0.0042 , 0.0002 , 0.0002
9.1468 , -0.8852 , 3.5224 , 0.0036 , -0.0014 , -0.0009
9.0989 , -0.8733 , 3.472 , 0.0031 , -0.0024 , -0.0019
9.1037 , -0.9044 , 3.4265 , 0.0026 , -0.0099 , -0.003
9.0845 , -0.9116 , 3.4697 , -0.0086 , 0.0205 , 0.0018
9.1659 , -0.9332 , 3.4433 , 0.0031 , 0.0141 , -0.0014
9.0797 , -0.8996 , 3.4912 , -0.0001 , 0.0024 , -0.0025
9.0773 , -0.9164 , 3.4433 , -0.0038 , 0.0061 , -0.0019
9.1516 , -0.9212 , 3.496 , -0.0027 , -0.003 , 0.005
9.1588 , -0.9116 , 3.4697 , -0.0011 , -0.0024 , 0.0002
9.0965 , -0.9164 , 3.4289 , 0.0015 , 0.005 , 0.0002
9.0102 , -0.902 , 3.4673 , -0.0011 , 0.0077 , -0.0014
9.1132 , -0.9044 , 3.4313 , 0.0052 , 0.0146 , 0.0007
9.1396 , -0.8876 , 3.4697 , -0.0006 , 0.0002 , 0.0023
9.0893 , -0.9188 , 3.5128 , 0.0036 , -0.0126 , 0.0007
9.1276 , -0.8781 , 3.4792 , 0.0042 , -0.0067 , -0.0014
9.0749 , -0.9499 , 3.4601 , -0.0049 , 0.0072 , -0.0003
