activity,ax,ay,az,gx,gy,gz
standing , 2.1544 , -9.5497 , -0.8877 , -0.0024 , 0.0017 , 0.0018
standing , 2.1616 , -9.5138 , -0.8949 , 0.0104 , -0.017 , -0.0094
standing , 2.152 , -9.5832 , -0.8614 , 0.0014 , 0.0363 , 0.0103
standing , 2.2741 , -9.5425 , -0.8422 , 0.0088 , -0.0138 , -0.0148
standing , 2.3005 , -9.588 , -0.871 , -0.0008 , 0.0123 , -0.0009
standing , 2.231 , -9.5808 , -1.0075 , 0.0051 , 0.0043 , -0.0057
standing , 2.1687 , -9.5377 , -0.8901 , 0.0088 , 0.0336 , -0.0084
standing , 2.152 , -9.5042 , -0.9428 , 0.0099 , 0.0113 , -0.0179
standing , 2.1328 , -9.5042 , -0.9931 , -0.0024 , 0.0038 , -0.0073
standing , 2.1304 , -9.5521 , -0.8662 , -0.0008 , 0.0315 , 0.0007
standing , 2.1496 , -9.5329 , -0.9021 , -0.0008 , 0.0315 , -0.0094
standing , 2.243 , -9.5425 , -0.8662 , 0.0061 , 0.0166 , 0.0034
standing , 2.152 , -9.5329 , -0.95 , -0.0045 , 0.0113 , 0.0092
standing , 2.1951 , -9.5449 , -0.8805 , 0.0168 , -0.0223 , -0.0185
standing , 2.267 , -9.5784 , -0.9045 , -0.0066 , 0.0581 , 0.005
standing , 2.2095 , -9.5449 , -0.9308 , 0.0088 , -0.0383 , -0.0014
standing , 2.1496 , -9.5401 , -0.9189 , 0.0072 , 0.0592 , 0.0034
standing , 2.2981 , -9.5042 , -0.8805 , 0.004 , 0.0225 , 0.0018
standing , 2.2933 , -9.4778 , -0.9093 , -0.0104 , 0.0086 , -0.0041
standing , 2.2741 , -9.5593 , -0.8853 , 0.0131 , 0.0416 , 0.0028
standing , 2.243 , -9.5281 , -0.847 , -0.0141 , -0.0202 , -0.0025
standing , 2.3101 , -9.5593 , -0.8901 , -0.004 , 0.0256 , 0.0066
standing , 2.0873 , -9.5473 , -0.8901 , 0.0056 , -0.0042 , 0.0023
standing , 2.3101 , -9.5209 , -0.7871 , 0.0008 , 0.0001 , -0.0062
standing , 2.334 , -9.5186 , -0.8398 , -0.0056 , -0.0196 , -0.0009
standing , 2.2023 , -9.5521 , -0.8542 , -0.0056 , 0.0198 , 0.0103
standing , 2.3556 , -9.5138 , -0.8781 , 0.0067 , 0.0315 , -0.011
standing , 2.1472 , -9.5593 , -0.7943 , -0.0013 , -0.0159 , -0.0004
standing , 2.2478 , -9.509 , -0.9141 , -0.0034 , 0.0278 , -0.0014
standing , 2.3125 , -9.5138 , -0.7823 , 0.0061 , 0.0225 , -0.0073
standing , 2.267 , -9.5329 , -0.8302 , -0.0045 , 0.023 , 0.0007
standing , 2.2574 , -9.5617 , -0.8638 , 0.0003 , -0.0074 , 0.0018
standing , 2.2095 , -9.4778 , -0.8853 , 0.0067 , 0.0027 , -0.0094
standing , 2.3819 , -9.5114 , -0.8326 , -0.0034 , 0.024 , 0.0055
standing , 2.1951 , -9.5569 , -0.8781 , 0.0077 , -0.0068 , -0.0073
standing , 2.2071 , -9.5593 , -0.9356 , 0.0072 , 0.0139 , -0.0094
standing , 2.3388 , -9.5186 , -0.8039 , 0.0029 , -0.0031 , -0.0089
standing , 2.2909 , -9.4898 , -0.8542 , 0.0014 , 0.0139 , 0.0108
standing , 2.2646 , -9.5665 , -0.9356 , -0.0018 , 0.0065 , 0.0039
