activity,ax,ay,az,gx,gy,gz
walking , 1.5555 , -9.9306 , -1.3932 , -0.5734 , 1.0575 , -1.075
walking , 1.2585 , -9.8036 , -2.0926 , -0.2884 , 0.8951 , -0.9461
walking , 1.1531 , -9.7102 , -1.7046 , -0.0589 , 0.8535 , -0.7863
walking , 1.5747 , -9.6 , -0.617 , -0.2304 , 1.1097 , -0.4438
walking , 2.4203 , -10.0264 , 3.0265 , -0.4301 , 0.3145 , 0.0915
walking , 2.588 , -8.5125 , -1.6471 , -0.7113 , -0.4078 , 0.5682
walking , 2.9617 , -9.5042 , -2.9981 , -0.4583 , 0.6346 , 1.0209
walking , -0.9334 , -11.72 , 1.0933 , -0.4679 , -0.1164 , 0.2497
walking , 1.2944 , -10.0072 , 1.1556 , -0.119 , 0.8727 , 0.2774
walking , 2.6694 , -9.164 , 0.8538 , -0.1547 , -1.1545 , 0.0558
walking , 1.6729 , -8.5125 , 1.2634 , 0.1718 , -2.0557 , -0.0241
walking , 1.7807 , -8.3112 , 1.4838 , 0.1265 , -1.0384 , 0.1575
walking , 4.5714 , -8.8933 , 2.2647 , 0.1973 , -2.1266 , -0.2126
walking , 6.9118 , -16.2355 , -1.0386 , 0.5121 , -3.0022 , 0.4095
walking , -1.5442 , -8.6897 , -1.8028 , 1.0746 , 2.1446 , 0.7498
walking , 1.4214 , -9.5233 , 0.0441 , 4.7098 , -7.4273 , -2.5924
walking , 2.37 , -9.4108 , -0.5667 , 0.5073 , -0.2996 , -0.8816
walking , 1.6849 , -9.3461 , -0.9596 , -0.3614 , -0.2352 , -0.6398
walking , 2.691 , -9.5521 , -1.2638 , -0.2123 , 0.0913 , 0.2667
walking , 0.4344 , -9.3461 , -0.411 , -1.0549 , -0.7492 , 0.883
walking , 0.4584 , -10.4169 , -2.6053 , -0.1515 , -0.094 , 0.4473
walking , 3.5749 , -12.7788 , -2.4017 , -0.0205 , -0.2783 , 0.0089
walking , 1.0477 , -5.9541 , -11.3584 , -0.1393 , 0.9664 , 0.4968
walking , 2.3843 , -7.6884 , -3.9563 , 0.1734 , 0.1068 , 0.3466
walking , 0.3865 , -8.2513 , 2.5234 , -0.4045 , -0.6805 , 0.4382
walking , 0.8057 , -7.7339 , 1.0718 , 0.2117 , -1.4794 , 0.1416
walking , 2.4466 , -8.6155 , 1.1724 , 0.3774 , -1.0054 , 0.2859
walking , 10.323 , -11.1499 , 0.8107 , 0.3193 , -0.4397 , 0.5229
walking , -0.1165 , -14.8772 , 4.9716 , -1.5252 , 0.0343 , 0.7211
walking , -0.1261 , -8.6849 , -1.1824 , 0.0067 , -3.0858 , -3.6593
walking , 0.9471 , -9.6335 , -1.58 , -0.5404 , 1.5108 , -0.8486
walking , 2.5472 , -9.3628 , -0.6673 , -0.0967 , 0.9526 , -0.5338
walking , 1.7567 , -9.4754 , -0.4541 , -0.4051 , -0.6 , 0.1591
walking , 1.3423 , -9.8156 , -1.1584 , -0.0557 , 1.3771 , 0.8489
walking , 1.8022 , -10.1366 , -2.1142 , -0.5473 , -0.6783 , 0.5267
walking , 5.8769 , -13.2483 , 1.1963 , -0.5888 , 1.6924 , 0.3871
