activity,ax,ay,az,gx,gy,gz
lying , 8.6988 , -4.3874 , 0.0417 , 0.0026 , 0.0008 , 0.0029
lying , 8.6988 , -4.4353 , -0.0277 , 0.001 , 0.0008 , 0.0023
lying , 8.7539 , -4.4162 , 0.0226 , -0.0022 , -0.0008 , -0.0035
lying , 8.7204 , -4.4066 , 0.0657 , -0.0022 , 0.0061 , -0.0014
lying , 8.7539 , -4.3755 , 0.0345 , 0.001 , 0.0056 , 0.0002
lying , 8.7012 , -4.3779 , 0.013 , -0.0043 , -0.0067 , -0.003
lying , 8.7156 , -4.397 , 0.0154 , 0.0026 , 0.0008 , 0.0034
lying , 8.7443 , -4.4282 , 0.0202 , 0.0021 , 0.004 , -0.0014
lying , 8.7587 , -4.4114 , 0.0178 , -0.0001 , -0.0003 , -0.003
lying , 8.6821 , -4.4353 , 0.0345 , 0.0026 , 0.0013 , -0.0003
lying , 8.7419 , -4.3946 , -0.0589 , -0.0006 , 0.0013 , 0.0029
lying , 8.7012 , -4.3946 , -0.011 , -0.0006 , 0.0002 , -0.0019
lying , 8.7491 , -4.421 , -0.0206 , -0.0027 , -0.0035 , 0.0007
lying , 8.7156 , -4.3922 , 0.013 , 0.0021 , 0.004 , -0.0009
lying , 8.7012 , -4.3803 , 0.0705 , 0.0042 , 0.0002 , -0.003
lying , 8.7036 , -4.3994 , 0.0154 , 0.0047 , 0.0018 , 0.0045
lying , 8.7228 , -4.3491 , 0.013 , -0.0011 , -0.0008 , -0.0019
lying , 8.7132 , -4.4186 , -0.0517 , -0.0011 , 0.004 , -0.0019
lying , 8.7324 , -4.3779 , 0.0417 , -0.0033 , -0.0067 , -0.0009
lying , 8.7348 , -4.4377 , -0.023 , 0.001 , 0.0072 , 0.0013
lying , 8.7036 , -4.385 , -0.0062 , 0.0021 , -0.0008 , -0.0057
lying , 8.7132 , -4.4066 , 0.0106 , -0.0043 , -0.0131 , -0.0003
lying , 8.7443 , -4.421 , -0.0134 , 0.0021 , 0.004 , 0.0007
lying , 8.7276 , -4.3874 , -0.0325 , 0.0026 , 0.004 , 0.0018
lying , 8.7276 , -4.4066 , 0.0297 , -0.0033 , -0.011 , -0.0041
lying , 8.73 , -4.4018 , 0.0106 , -0.0017 , -0.0147 , -0.0057
lying , 8.7228 , -4.4186 , -0.0613 , -0.0017 , 0.0008 , -0.0009
lying , 8.7611 , -4.3922 , -0.011 , -0.0011 , 0.0008 , 0.0013
lying , 8.7348 , -4.3779 , 0.013 , -0.0027 , -0.0056 , 0.0013
lying , 8.6892 , -4.3874 , 0.0034 , 0.0005 , 0.0034 , 0.0007
lying , 8.7419 , -4.3635 , -0.0757 , 0.0047 , 0.0034 , -0.0009
lying , 8.7563 , -4.3874 , -0.0589 , -0.0011 , -0.0014 , 0.0002
lying , 8.6964 , -4.3515 , -0.0158 , -0.0006 , -0.0008 , -0.003
lying , 8.7204 , -4.4066 , -0.114 , -0.0001 , 0.005 , 0.0061
lying , 8.6916 , -4.3922 , -0.0565 , -0.0022 , -0.0024 , -0.0046
lying , 8.73 , -4.3635 , -0.0757 , 0.0026 , 0.0056 , 0.0013
lying , 8.7132 , -4.3707 , -0.0182 , 0.001 , 0.0008 , -0.0041
lying , 8.7707 , -4.4282 , -0.0637 , 0.0005 , -0.0008 , -0.0009
lying , 8.7491 , -4.3683 , -0.0661 , -0.0006 , 0.0066 , 0.0023
lying , 8.7156 , -4.3731 , -0.0972 , -0.0001 , 0.0045 , 0.0029
lying , 8.7156 , -4.3874 , -0.0541 , 0.0005 , -0.0051 , -0.0025
lying , 8.718 , -4.3683 , -0.011 , 0.0042 , 0.0045 , -0.0025
lying , 8.7132 , -4.3803 , -0.0804 , 0.0015 , 0.0018 , -0.0014
lying , 8.7371 , -4.397 , -0.0709 , 0.0021 , 0.0018 , 0.0013
