activity,ax,ay,az,gx,gy,gz
standing , 0.8033 , -9.7605 , -1.247 , -0.004 , 0.0182 , 0.0055
standing , 0.7123 , -9.7557 , -1.0818 , -0.0029 , 0.0299 , 0.0002
standing , 0.5734 , -9.7629 , -1.1991 , -0.0231 , 0.0603 , 0.0209
standing , 0.9518 , -9.7845 , -0.9979 , -0.0093 , -0.0281 , -0.0036
standing , 0.7195 , -9.7677 , -1.1872 , 0.0221 , 0.0091 , 0.0129
standing , 0.6045 , -9.7509 , -1.1392 , -0.0178 , 0.0597 , -0.0126
standing , 0.7482 , -9.7773 , -1.0506 , -0.005 , 0.0475 , 0.0002
standing , 0.7003 , -9.7509 , -1.2327 , 0.0115 , 0.0043 , 0.0055
standing , 0.7027 , -9.7485 , -1.0195 , -0.0029 , 0.0011 , -0.0025
standing , 0.741 , -9.7653 , -1.2063 , 0.012 , -0.0239 , 0.0039
standing , 0.7243 , -9.8132 , -1.1584 , 0.004 , -0.0005 , 0.0044
standing , 0.6764 , -9.8659 , -1.3189 , -0.0066 , 0.0507 , 0.0018
standing , 0.7866 , -9.7557 , -1.0362 , -0.0093 , 0.0235 , 0.0039
standing , 0.6716 , -9.806 , -1.3429 , 0.0205 , 0.0107 , 0.0055
standing , 0.6572 , -9.7413 , -1.1656 , -0.0013 , 0.0097 , 0.0081
standing , 0.6764 , -9.727 , -1.2183 , -0.0024 , -0.017 , 0.0012
standing , 0.7386 , -9.7749 , -1.144 , -0.0306 , 0.0533 , 0.0113
standing , 0.6644 , -9.7892 , -1.1919 , 0.0157 , -0.0308 , 0.0028
standing , 0.7913 , -9.7437 , -1.1967 , -0.0088 , 0.0187 , 0.0023
standing , 0.7818 , -9.7461 , -1.2351 , -0.0034 , -0.0463 , -0.0078
standing , 0.7219 , -9.7461 , -1.283 , 0.0211 , 0.0267 , 0.0183
standing , 0.6596 , -9.7653 , -1.1033 , -0.0173 , -0.017 , -0.0062
standing , 0.7027 , -9.7222 , -1.3141 , -0.0114 , 0.0315 , 0.0012
standing , 0.7171 , -9.8036 , -1.1345 , 0.0024 , -0.0186 , 0.0012
standing , 0.8249 , -9.794 , -1.3524 , -0.012 , 0.0145 , 0.0012
standing , 0.6261 , -9.7988 , -1.2015 , -0.0269 , 0.0267 , -0.0132
standing , 0.6883 , -9.7868 , -1.2686 , 0.0173 , 0.0065 , 0.0177
standing , 0.5734 , -9.7437 , -1.0889 , -0.0109 , -0.0079 , 0.0071
standing , 0.6332 , -9.7797 , -1.271 , -0.0301 , 0.0075 , 0.0076
standing , 0.6332 , -9.6575 , -1.2399 , 0.0061 , 0.0454 , 0.0161
standing , 0.7171 , -9.7868 , -1.2015 , -0.0269 , 0.0475 , -0.0062
standing , 0.5758 , -9.7605 , -1.2542 , -0.0178 , 0.0288 , 0.0023
standing , 0.7818 , -9.794 , -1.2159 , 0.012 , -0.017 , 0.0023
standing , 0.6548 , -9.7198 , -1.2327 , -0.0077 , 0.0235 , 0.0039
standing , 0.6213 , -9.7557 , -1.1991 , 0.0008 , 0.047 , -0.0036
standing , 0.6764 , -9.7629 , -1.2662 , -0.0136 , -0.0026 , -0.0084
standing , 0.6955 , -9.7006 , -1.2542 , 0.0184 , 0.0011 , 0.014
standing , 0.5662 , -9.7581 , -1.283 , 0.0077 , 0.0161 , -0.002
standing , 0.7842 , -9.7677 , -1.4578 , -0.02 , 0.0629 , -0.0094
standing , 0.5542 , -9.7533 , -1.374 , 0.02 , 0.0336 , 0.0124
standing , 0.6644 , -9.7437 , -1.1919 , 0.0045 , -0.0106 , -0.0009
standing , 0.6548 , -9.7102 , -1.3788 , 0.0099 , -0.0292 , -0.0068
standing , 0.6764 , -9.7581 , -1.2902 , -0.0066 , 0.023 , 0.0103
standing , 0.6332 , -9.7509 , -1.3932 , 0.0168 , -0.0047 , -0.0036
standing , 0.6141 , -9.7701 , -1.2854 , 0.0019 , 0.0097 , -0.0004
standing , 0.789 , -9.6886 , -1.3836 , 0.0381 , -0.0074 , 0.0087
standing , 0.6788 , -9.7509 , -1.4794 , 0.0035 , -0.0186 , -0.0036
